angry [ˈæŋgri] a.愤怒的，生气的
animal [ˈæniməl] n.动物，兽 a.动物的
ankle [ˈæŋkl] n.踝，踝节部
announce [əˈnauns] vt.宣布，宣告，发表
announcer [əˈnaunsə] n.宣告者；播音员
annoy [əˈnɔi] vt.使恼怒；打搅
annual [ˈænjuəl] a.每年的 n.年报
another [əˈnʌðə] a.再一个的；别的
answer [ˈɑːnsə] vt.回答；响应；适应
ant [ænt] n.蚂蚁
anticipate [ænˈtisipeit] vt.预料，预期，期望
anxiety [æŋˈzaiəti] n.焦虑，忧虑；渴望
anxious [ˈæŋk∫əs] a.忧虑的；渴望的
any [ˈeni] a.什么，一些；任何的
anybody [ˈeniˌbɔdi] prep.任何人
anyhow [ˈenihau] ad.无论如何
anyone [ˈeniwʌn] pron.任何人
anything [ˈeniθiŋ] pron.任何事物；一切
anyway [ˈeniwei] ad.无论如何
anywhere [ˈeniweə] ad.在什么地方
apart [əˈpɑːt] ad.相隔；分开；除去
apartment [əˈpɑːtmənt] n.一套公寓房间
apologize [əˈpɔlədʒaiz] vi.道歉，谢罪，认错
apology [əˈpɔlədʒi] n.道歉，认错，谢罪
apparatus [ˌæpəˈreitəs] n.器械，仪器；器官
apparent [əˈpærənt] a.表面上的；明显的
appeal [əˈpiːl] vi.&n.呼吁；申述
appear [əˈpiə] vi.出现；来到；似乎
appearance [əˈpiərəns] n.出现，来到；外观
appetite [ˈæpitait] n.食欲，胃口；欲望
apple [ˈæpl] n.苹果，苹果树
appliance [əˈplaiəns] n.用具，器具，器械
applicable [ˈæplikəbl] a.能应用的；适当的
application [ˌæpliˈkei∫ən] n.请求，申请；施用
apply [əˈplai] vt.应用，实施，使用
appoint [əˈpɔint] vt.任命，委任；约定
appointment [əˈpɔintmənt] n.任命;约定,约会
appreciate [əˈpriː∫ieit] vt.欣赏；领会；感谢
approach [əˈprəut∫] vt.向…靠近 n.靠近
appropriate [əˈprəupriit] a.适当的，恰当的
approval [əˈpruːvəl] n.赞成，同意；批准
approve [əˈpruːv] vt.赞成，称许；批准
approximate [əˈprɔksimeit] a.近似的 vt.近似
approximately [əprɔksiˈmətli] ad.近似地，大约
